origin,Organism/Name,kingdom,phylum,class,order,family,subfamily,genus
RefSeq-v207,Shigella phage Sd1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Drexlerviridae,Rogunavirinae,Wilsonroadvirus
RefSeq-v207,Shigella phage Sf11 SMD-2017,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,
RefSeq-v207,Shigella phage Sf12,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Drexlerviridae,Rogunavirinae,Eastlansingvirus
RefSeq-v207,Shigella phage Sf13,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Ounavirinae,Mooglevirus
RefSeq-v207,Shigella phage Sf14,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Ounavirinae,Mooglevirus
RefSeq-v207,Shigella phage Sf17,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Ounavirinae,Mooglevirus
RefSeq-v207,Shigella phage Sf21,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Tevenvirinae,Tequatrovirus
RefSeq-v207,Shigella phage Sf22,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Tevenvirinae,Tequatrovirus
RefSeq-v207,Shigella phage Sf23,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Tevenvirinae,Tequatrovirus
RefSeq-v207,Shigella phage Sf24,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Tevenvirinae,Tequatrovirus
RefSeq-v207,Shigella phage SfII,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,
RefSeq-v207,Shigella phage SfIV,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,
RefSeq-v207,Shigella phage SfMu,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Muvirus
RefSeq-v207,Shigella phage Sfin-1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Drexlerviridae,Tunavirinae,Tunavirus
RefSeq-v207,Shigella phage Shf125875,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Tevenvirinae,Mosigvirus
RefSeq-v207,Shigella phage Shfl2,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Tevenvirinae,Tequatrovirus
RefSeq-v207,Shigella phage Ss-VASD,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Sepvirinae,Oslovirus
RefSeq-v207,Shigella phage VB_Ship_A7,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Studiervirinae,Berlinvirus
RefSeq-v207,Shigella phage pSb-1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Schitoviridae,Enquatrovirinae,Gamaleyavirus
RefSeq-v207,Shigella phage pSf-1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Drexlerviridae,Tempevirinae,Hanrivervirus
RefSeq-v207,Shigella phage pSf-2,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Drexlerviridae,Tunavirinae,Tunavirus
RefSeq-v207,Shigella phage pSs-1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Tevenvirinae,Tequatrovirus
RefSeq-v207,Shigella phage phi25-307,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Tevenvirinae,Mosigvirus
RefSeq-v207,Shigella phage vB_SflS-ISF001,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Drexlerviridae,Tunavirinae,Tunavirus
RefSeq-v207,Shigella phage vB_SsoS-ISF002,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Drexlerviridae,Tunavirinae,Tunavirus
RefSeq-v207,Shigella phage vB_SsoS_008,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Drexlerviridae,Tunavirinae,Tunavirus
RefSeq-v207,Shigella virus 2019SD1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Drexlerviridae,Tempevirinae,Hanrivervirus
RefSeq-v207,Shigella virus Sf6,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Lederbergvirus
RefSeq-v207,Shigella virus Sfin-3,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Drexlerviridae,Tunavirinae,Tunavirus
RefSeq-v207,Shigella virus Shfl1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Drexlerviridae,Tunavirinae,Tunavirus
RefSeq-v207,Silicibacter phage DSS3phi2,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Schitoviridae,Rhodovirinae,Aorunvirus
RefSeq-v207,Sinorhizobium phage PBC5,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,
RefSeq-v207,Sinorhizobium phage ort11,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Schitoviridae,,Huelvavirus
RefSeq-v207,Sinorhizobium phage phiLM21,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,
RefSeq-v207,Sinorhizobium phage phiM12,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Emdodecavirus
RefSeq-v207,Sinorhizobium phage phiM7,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Emdodecavirus
RefSeq-v207,Sinorhizobium phage phiM9,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Ackermannviridae,,
RefSeq-v207,Sinorhizobium phage phiN3,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Emdodecavirus
RefSeq-v207,Sodalis phage SO1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Dhillonvirus
RefSeq-v207,Sodalis phage phiSG1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,
RefSeq-v207,Sphingobium phage Lacusarx,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Lacusarxvirus
