origin,Organism/Name,kingdom,phylum,class,order,family,genus
RefSeq-v211,Mycobacterium phage Nibb,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Timquatrovirus
RefSeq-v211,Mycobacterium phage Patt,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Timquatrovirus
RefSeq-v211,Mycobacterium virus TA17a,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Rosebushvirus
RefSeq-v211,Mycobacterium phage Ekdilam,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Timquatrovirus
RefSeq-v211,Mycobacterium phage Yuna,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Timquatrovirus
RefSeq-v211,Mycobacterium phage Zavala,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Timquatrovirus
RefSeq-v211,Mycobacterium phage LilMcDreamy,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,
RefSeq-v211,Mycobacterium phage Marshawn,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Timquatrovirus
RefSeq-v211,Mycobacterium phage Bryler,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Timquatrovirus
RefSeq-v211,Mycobacterium phage Quesadilla,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,
RefSeq-v211,Mycobacterium phage BirdsNest,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,
RefSeq-v211,Mycobacterium phage Imvubu,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,
RefSeq-v211,Salmonella phage Se-G,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Ackermannviridae,Kuttervirus
RefSeq-v211,Salmonella phage Se-J,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Ackermannviridae,Kuttervirus
RefSeq-v211,Salmonella phage Se-B,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Ackermannviridae,Kuttervirus
RefSeq-v211,Mycobacterium phage Eponine,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Timquatrovirus
RefSeq-v211,Mycobacterium phage Ximenita,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Timquatrovirus
RefSeq-v211,Mycobacterium phage MarkPhew,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Timquatrovirus
RefSeq-v211,Mycobacterium phage Chris,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Timquatrovirus
RefSeq-v211,Mycobacterium phage Ellie,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Timquatrovirus
RefSeq-v211,Thermoproteus tenax virus 1,Zilligvirae,Taleaviricota,Tokiviricetes,Primavirales,Tristromaviridae,Betatristromavirus
RefSeq-v211,Enterobacteria phage PRD1,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Kalamavirales,Tectiviridae,Alphatectivirus
RefSeq-v211,Bacillus phage PBS1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Takahashivirus
RefSeq-v211,Bacillus phage SPO1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Okubovirus
RefSeq-v211,Vibrio phage CP-T1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,
RefSeq-v211,Escherichia virus BF23,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Demerecviridae,Tequintavirus
RefSeq-v211,Escherichia phage T5,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Demerecviridae,Tequintavirus
RefSeq-v211,Streptococcus phage Cp1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Salasmaviridae,Cepunavirus
RefSeq-v211,Bacillus phage GA1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Salasmaviridae,Gaunavirus
RefSeq-v211,Mycoplasma virus P1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Delislevirus
RefSeq-v211,Acholeplasma virus L2,,,,,Plasmaviridae,Plasmavirus
RefSeq-v211,Mycobacterium phage TM4,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Timquatrovirus
